iter	PRAUC	Logloss
0	0.7794209792	0.6861911553
1	0.8524921399	0.6796715993
2	0.8492806577	0.6736129736
3	0.8521109065	0.6691304705
4	0.8447013421	0.664811296
5	0.8533937583	0.6593654369
6	0.8663623867	0.6527438427
7	0.8758960694	0.646072382
8	0.8744490135	0.640719785
9	0.8753693772	0.636487337
10	0.872724328	0.6302760146
11	0.8762989156	0.6255962554
12	0.8777775321	0.62102464
13	0.8821879996	0.6177733401
14	0.8767586832	0.6141884592
15	0.8775233072	0.611313693
16	0.8806109395	0.6074516059
17	0.8825392681	0.602467224
18	0.8839649349	0.5997090202
19	0.8858690865	0.5961241121
20	0.8847812283	0.5922335169
21	0.8875575494	0.588508562
22	0.8880784346	0.5844470182
23	0.8865800013	0.5811535859
24	0.8867534579	0.5775363895
25	0.8863513826	0.5736091493
26	0.8884266845	0.5699703894
27	0.8885883217	0.5667250077
28	0.8915347501	0.564278112
29	0.8897721091	0.5626665134
30	0.8893576442	0.5592540938
31	0.8937989867	0.5557515326
32	0.8931674325	0.5545970574
33	0.893032917	0.5522347351
34	0.8959255424	0.5498588982
35	0.8970463336	0.5471195808
36	0.8991578814	0.5446210957
37	0.8980865178	0.542810138
38	0.9007794019	0.5418165963
39	0.9008053773	0.5385977736
40	0.9039981064	0.5368120852
41	0.903655897	0.5347706726
42	0.9043157378	0.5321055046
43	0.9048283736	0.5301009159
44	0.9053093073	0.5288216365
45	0.9093261148	0.5260364285
46	0.9090693479	0.5237293219
47	0.9113859867	0.5215711694
48	0.9119453308	0.5190024716
49	0.9121343855	0.5168042579
50	0.9125896845	0.5149382702
51	0.9139653624	0.5135219749
52	0.9163279046	0.5115119379
53	0.9157127787	0.5097954616
54	0.9155522972	0.5084619088
55	0.9151711738	0.5072782828
56	0.9171770164	0.5050330259
57	0.9168929212	0.5039023226
58	0.9177052166	0.5019404899
59	0.9180613956	0.4998078949
