iter	Passed	Remaining
0	1	75
1	1	52
2	2	55
3	3	47
4	3	40
5	4	37
6	4	34
7	4	32
8	5	30
9	5	29
10	6	27
11	6	26
12	7	25
13	7	25
14	8	24
15	8	24
16	9	23
17	9	22
18	10	21
19	10	20
20	10	20
21	11	19
22	11	18
23	12	18
24	12	17
25	12	16
26	13	16
27	13	15
28	14	15
29	14	14
30	15	14
31	15	13
32	16	13
33	16	12
34	17	12
35	17	11
36	18	11
37	18	10
38	18	10
39	19	9
40	19	9
41	20	8
42	20	8
43	21	7
44	21	7
45	21	6
46	22	6
47	22	5
48	23	5
49	23	4
50	23	4
51	24	3
52	24	3
53	25	2
54	25	2
55	25	1
56	26	1
57	27	0
58	27	0
59	27	0
