iter	Passed	Remaining
0	50	10108
1	52	5183
2	53	3511
3	54	2687
4	55	2181
5	56	1839
6	57	1597
7	59	1439
8	60	1291
9	61	1174
10	62	1073
11	63	992
12	63	919
13	64	860
14	65	809
15	66	766
16	67	728
17	68	692
18	69	659
19	70	630
20	70	604
21	72	585
22	73	566
23	74	545
24	75	527
25	76	509
26	76	493
27	77	477
28	78	463
29	79	449
30	80	436
31	80	425
32	81	413
33	82	403
34	83	394
35	84	385
36	85	376
37	86	367
38	86	358
39	87	350
40	88	343
41	89	335
42	90	329
43	91	322
44	91	316
45	92	310
46	93	304
47	94	299
48	95	293
49	95	287
50	96	282
51	97	277
52	98	272
53	99	268
54	100	263
55	100	259
56	101	255
57	102	251
58	103	246
59	104	243
60	104	239
61	105	235
62	106	231
63	108	230
64	109	226
65	109	222
66	110	219
67	111	216
68	112	213
69	113	210
70	114	207
71	114	204
72	115	201
73	116	198
74	117	195
75	118	192
76	118	190
77	119	187
78	120	184
79	121	182
80	122	179
81	123	177
82	123	174
83	124	172
84	125	169
85	126	167
86	127	165
87	127	162
88	128	160
89	129	158
90	130	156
91	131	154
92	132	151
93	132	149
94	133	147
95	134	145
96	135	143
97	136	141
98	137	139
99	137	137
100	138	136
101	139	134
102	140	132
103	141	130
104	142	128
105	142	126
106	143	124
107	144	123
108	145	121
109	146	119
110	146	117
111	147	115
112	148	114
113	149	112
114	150	110
115	150	109
116	151	107
117	152	106
118	153	104
119	154	102
120	155	101
121	156	99
122	156	98
123	157	96
124	158	95
125	159	93
126	160	92
127	161	90
128	161	89
129	162	87
130	163	86
131	164	84
132	165	83
133	166	81
134	167	80
135	167	79
136	168	77
137	169	76
138	170	74
139	171	73
140	172	72
141	173	70
142	173	69
143	174	67
144	175	66
145	176	65
146	177	63
147	178	62
148	178	61
149	179	59
150	180	58
151	181	57
152	182	56
153	183	54
154	184	53
155	185	52
156	185	50
157	186	49
158	187	48
159	188	47
160	189	45
161	189	44
162	190	43
163	191	42
164	192	40
165	193	39
166	194	38
167	195	37
168	195	35
169	196	34
170	197	33
171	198	32
172	199	31
173	199	29
174	200	28
175	201	27
176	202	26
177	203	25
178	204	23
179	204	22
180	205	21
181	206	20
182	207	19
183	207	18
184	208	16
185	209	15
186	210	14
187	211	13
188	211	12
189	212	11
190	213	10
191	214	8
192	215	7
193	215	6
194	216	5
195	217	4
196	218	3
197	219	2
198	219	1
199	220	0
